,date,open,high,low,close,volume
2615,2022-08-01,17243.20,17356.25,17154.80,17340.05,381532672
2616,2022-08-02,17310.15,17390.15,17215.85,17345.45,333639104
2617,2022-08-03,17349.25,17407.50,17225.85,17388.15,285414656
2618,2022-08-04,17463.10,17490.70,17161.25,17382.00,324981440
2619,2022-08-05,17423.65,17474.40,17348.75,17397.50,355310816
2620,2022-08-08,17401.50,17548.80,17359.75,17525.10,256994112
2621,2022-08-10,17566.10,17566.10,17442.80,17534.75,312716544
2622,2022-08-11,17711.65,17719.30,17631.95,17659.00,311247232
2623,2022-08-12,17659.65,17724.65,17597.85,17698.15,303872480
2624,2022-08-16,17797.20,17839.10,17764.05,17825.25,278042720
2625,2022-08-17,17868.15,17965.95,17833.35,17944.25,262768576
2626,2022-08-18,17898.65,17968.45,17852.05,17956.50,263914192
2627,2022-08-19,17966.55,17992.20,17710.75,17758.45,295627264
2628,2022-08-22,17682.90,17690.05,17467.35,17490.70,287559136
2629,2022-08-23,17357.35,17625.55,17345.20,17577.50,285616352
